generation,fitness
0,2.18245070710314
1,1.97040395735342
2,1.93557593640322
3,1.86835435585661
4,1.84343282807882
5,1.83852250528973
6,1.81945307809111
7,1.81220044293984
8,1.78715170285018
9,1.78715170285018
10,1.76649097723776
11,1.76649097723772
12,1.75802574330581
13,1.7580257433058
14,1.75248045650915
15,1.75248045650913
16,1.75248045650913
17,1.75248045650913
18,1.75248045650913
19,1.75248045650913
0,2.3583966246442
1,2.3583966246442
2,2.28357247213404
3,2.23881303380306
4,2.1657764808346
5,2.1009376362832
6,2.05773124097108
7,2.0176826220791
8,1.99233384124541
9,1.95773569520913
10,1.88583653886089
11,1.86890599928473
12,1.85339516386404
13,1.84993294611226
14,1.84993294611226
15,1.84993294611226
16,1.84993294611226
17,1.84993294611226
18,1.84993294611226
19,1.84993294611226

